domain	payload_grammar
OUTBE_OCOMP_PROTOCOL_BUNDLE_V1	canonical(ProtocolBundleV1)
OUTBE_OCOMP_PRE_ADMISSION_V1	canonical(PreAdmissionEnvelopeV1)
OUTBE_OCOMP_ACTIVATION_PRECONDITIONS_V1	canonical(ActivationPreconditionsV1)
OUTBE_OCOMP_INTENT_V1	canonical(JobIntentV1)
OUTBE_OCOMP_INTENT_SLOT_V1	IntentId
OUTBE_OCOMP_JOB_V1	IntentId||finalized_request_block_hash||finalized_request_state_root
OUTBE_OCOMP_INPUT_CHUNK_V1	canonical(AuthenticatedInputChunkV1)
OUTBE_OCOMP_INPUT_MANIFEST_V1	canonical(InputManifestV1)
OUTBE_OCOMP_PLAN_V1	u32_be(unit_count)||canonical(UnitSpecV1)*
OUTBE_OCOMP_UNIT_V1	canonical(UnitSpecV1)
OUTBE_OCOMP_UNIT_INTERVAL_V1	phase||canonical_nested(interval)
OUTBE_OCOMP_UNIT_INPUTS_V1	u32_be(input_count)||canonical_nested(CanonicalInputRefV1)*
OUTBE_OCOMP_UNIT_EMPTY_V1	u8(purpose)
OUTBE_OCOMP_UNIT_OUTPUT_V1	protocol_bundle_hash||JobId||attempt||UnitId||phase||interval_commitment||len||bytes
OUTBE_OCOMP_UNIT_COVERAGE_V1	phase||interval_commitment||coverage_roots||coverage_counts
OUTBE_OCOMP_UNIT_ARTIFACT_V1	canonical(UnitArtifactV1)
OUTBE_OCOMP_RESULT_CHUNK_V1	canonical(ResultChunkV1)
OUTBE_OCOMP_RESULT_V1	canonical(ActivationPayloadV1)
OUTBE_OCOMP_VALIDATOR_IDENTITY_V1	validator_index||validator_address20||len||consensus_public_key
OUTBE_OCOMP_COMMITTEE_V1	canonical(OcompCommitteeSnapshotV1)
OUTBE_OCOMP_KEY_POP_V1	canonical_nested(OcompKeyRegistrationCoreV1)
OUTBE_OCOMP_SIGN_ONCE_SLOT_V1	chain_id||purpose||JobId||attempt
OUTBE_OCOMP_ACTIVATION_CALL_V1	canonical(ActivationCallCoreV1)
OUTBE_OCOMP_LYSIS_ARITHMETIC_V1	canonical(LysisArithmeticSummaryV1)
OUTBE_OCOMP_RESULT_EVIDENCE_V1	canonical(PoCActivationV1)
OUTBE_OCOMP_TERMINAL_RECEIPT_V1	canonical(AggregateActivationReceiptV1)
OUTBE_OCOMP_NOD_RECEIPT_V1	canonical(NodBatchReceiptV1)
OUTBE_OCOMP_CONTRIBUTOR_RECEIPT_V1	canonical(ContributorReceiptV1)
OUTBE_OCOMP_TRIBUTE_RECEIPT_V1	canonical(TributeReceiptV1)
OUTBE_OCOMP_DESIS_REQUEST_BRIEF_V1	protocol_bundle_hash||wwd||auction_base||auction_entry_price||logical_anchor
OUTBE_OCOMP_BUDGET_SPLIT_RECEIPT_V1	canonical(RequestBudgetSplitReceiptV1)
OUTBE_OCOMP_CARRY_OVER_RECEIPT_V1	canonical(CarryOverReceiptV1)
OUTBE_OCOMP_ACTIVE_GENERATION_V1	canonical(ActiveGenerationV1)
OUTBE_OCOMP_JOB_RECORD_V1	canonical(OcompJobRecordV1)
OUTBE_OCOMP_STATE_EVENTS_V1	owner_kind||effect_binding||len||owner_projection
OUTBE_OCOMP_APPLY_EVENT_SUMMARY_V1	four_activation_owner_state_event_digests
OUTBE_OCOMP_EFFECTS_V1	four_activation_owner_receipt_hashes_or_empty
OUTBE_OCOMP_LIST_EMPTY_V1	list_kind
OUTBE_OCOMP_LIST_LEAF_V1	list_kind||index||len||item
OUTBE_OCOMP_LIST_PAD_V1	list_kind||missing_index
OUTBE_OCOMP_LIST_NODE_V1	list_kind||level||index||left||right
OUTBE_OCOMP_LIST_ROOT_V1	list_kind||real_count||tree_height||tree_root
